12月13日 ( 土 ),,,
あべ しんぞう,,,
安倍 晋三総裁,,,
開始時間,候補者,演説場所,用務
09:15～,【大阪府】 佐藤 ゆかり （11区）,"枚方市駅南口ロータリー
 （ 枚方市岡東町19-14 ）",街頭演説会
ふるや けいじ,,,
古屋 圭司拉致問題対策本部長,,,
開始時間,候補者,演説場所,用務
14:15～,【大阪府】 長尾 たかし （14区）,ＪＲ八尾駅前,街頭演説会
15:00～,【大阪府】 長尾 たかし （14区）,近鉄古市駅前,街頭演説会
あまり あきら,,,
甘利 明経済再生担当大臣,,,
開始時間,候補者,演説場所,用務
10:45～,【滋賀県】 大岡 としたか （1区）,石山駅前,街頭演説会
19:00～,【香川県】 平井 たくや （1区）,高松市サンポートホール,総決起大会
いしば しげる,,,
石破 茂地方創生担当大臣,,,
開始時間,候補者,演説場所,用務
09:00～,【福島県】 かんけ 一郎 （4区）,"菅家一郎選挙事務所
 （ 会津若松市町北町上荒久田村北122 ）",街頭演説会
12:45～,【東京都】 松本 洋平 （19区）,新小平駅前,街頭演説会
15:50～,【山梨県】 堀内 のり子 （2区）,石和温泉駅前,街頭演説会
16:30～,【山梨県】 堀内 のり子 （2区）,山梨市駅前,街頭演説会
17:30～,【山梨県】 宮川 典子 （1区）,甲府駅前,街頭演説会
19:00～,【東京都】 山田 みき （1区）,"アルカディア市ヶ谷
 （ 千代田区九段北4‐2‐25 ）",総決起大会
かわむら たけお,,,
河村 建夫地方創生実行統合本部長,,,
開始時間,候補者,演説場所,用務
09:45～,【岡山県】 山下 たかし （2区）,"高崎土地改良区
 （ 岡山市南区灘崎町西高崎45 ）",街頭演説会
10:05～,【岡山県】 山下 たかし （2区）,"幸寿司
 （ 玉野市東紅陽台1丁目19-15 ）",街頭演説会
11:15～,【岡山県】 山下 たかし （2区）,"㈱アール・ケア前
 （ 玉野市東高崎25-34 ）",街頭演説会
13:00～,【京都府】 宮崎 けんすけ （3区）,ホテルグランヴィア京都,総決起大会
19:00～,【兵庫県】 谷 公一 （5区）,"出石ひぼこホール
 （ 豊岡市出石町水上318 ）",個人演説会
19:30～,【兵庫県】 谷 公一 （5区）,"豊岡市民会館大ホール
 （ 豊岡市立野20-34 ）",個人演説会
きしだ ふみお,,,
岸田 文雄外務大臣,,,
開始時間,候補者,演説場所,用務
19:00～,【東京都】 木原 誠二 （20区）,東村山市中央公民館,個人演説会
すが よしひで,,,
菅 義偉内閣官房長官,,,
開始時間,候補者,演説場所,用務
10:00～,【新潟県】 石崎 とおる （1区）,新潟駅前,街頭演説会
10:45～,【新潟県】 細田 健一 （2区）,"チャレンジャー巻店前
 （ 新潟市西蒲区巻甲4178-1 ）",街頭演説会
12:00～,【新潟県】 金子 めぐみ （4区）,"三条市役所
 （ 三条市旭町2-3-1 ）",街頭演説会
16:30～,【宮城県】 土井 とおる （1区）,"アエル前
 （ 仙台市青葉区中央1-3-1 ）",街頭演説会
18:00～,【宮城県】 勝沼 しげあき （5区）,"石巻市役所正面玄関前
 （ 石巻市穀町14-1 ）",街頭演説会
19:00～,【宮城県】 勝沼 しげあき （5区）,"河北総合センタービッグバン
 （ 石巻市成田小塚裏畑54 ）",個人演説会
しおざき やすひさ,,,
塩崎 恭久厚生労働大臣,,,
開始時間,候補者,演説場所,用務
17:15～,【東京都】 平 将明 （4区）,蒲田駅東口,街頭演説会
17:55～,【東京都】 平 将明 （4区）,大森駅東口,街頭演説会
たけした わたる,,,
竹下 亘復興大臣,,,
開始時間,候補者,演説場所,用務
09:50～,【佐賀県】 古川 康 （2区）,"唐津商工会議所
 （ 唐津市大名小路1-54 ）",古川康を励ます会
15:30～,【熊本県】 木原 みのる （1区）,"畜連
 （ 熊本市東区桜木6-3-54 ）",街頭演説会
16:00～,【熊本県】 木原 みのる （1区）,"桜木公園
 （ 熊本市東区桜木３ ）",街頭演説会
16:30～,【熊本県】 木原 みのる （1区）,"JA湖東
 （ 熊本市東区沼山津2-8-26 ）",街頭演説会
ありむら はるこ,,,
有村 治子女性活躍担当大臣,,,
開始時間,候補者,演説場所,用務
15:10～,【青森県】 江渡 あきのり （2区）,"五戸公民館
 （ 十和田市東一番町1-30 ）",五戸町個人演説会
16:00～,【青森県】 江渡 あきのり （2区）,"江渡聡徳選挙事務所
 （ 青森県十和田市東一番町1-30 ）",事務所訪問
17:00～,【青森県】 江渡 あきのり （2区）,"きざん三沢
 （ 三沢市堀口17-128 ）",三沢市個人演説会
