File,No,schoolType,school,ageGroup,type,year,sex,value,number,rate
MedSchool.csv,1,国立,北海道大学,うち21歳,合格率,26,男,42%,,0.42
MedSchool.csv,1,国立,北海道大学,うち21歳,合格率,26,女,100%,,1
MedSchool.csv,1,国立,北海道大学,うち21歳,受験者,25,男,13,13,
MedSchool.csv,1,国立,北海道大学,うち21歳,受験者,25,女,3,3,
MedSchool.csv,1,国立,北海道大学,うち21歳,受験者,25,合計,16,16,
MedSchool.csv,1,国立,北海道大学,うち21歳,合格者,25,男,1,1,
MedSchool.csv,1,国立,北海道大学,うち21歳,合格者,25,女,1,1,
MedSchool.csv,1,国立,北海道大学,うち21歳,合格者,25,合計,2,2,
MedSchool.csv,1,国立,北海道大学,うち21歳,合格率,25,男,8%,,0.08
MedSchool.csv,1,国立,北海道大学,うち21歳,合格率,25,女,33%,,0.33
MedSchool.csv,1,国立,北海道大学,うち22歳以上,受験者,30,男,24,24,
MedSchool.csv,1,国立,北海道大学,うち22歳以上,受験者,30,女,7,7,
MedSchool.csv,1,国立,北海道大学,うち22歳以上,受験者,30,合計,31,31,
MedSchool.csv,1,国立,北海道大学,うち22歳以上,合格者,30,男,1,1,
MedSchool.csv,1,国立,北海道大学,うち22歳以上,合格者,30,女,0,0,
MedSchool.csv,1,国立,北海道大学,うち22歳以上,合格者,30,合計,1,1,
MedSchool.csv,1,国立,北海道大学,うち22歳以上,合格率,30,男,4%,,0.04
MedSchool.csv,1,国立,北海道大学,うち22歳以上,合格率,30,女,0%,,0
MedSchool.csv,1,国立,北海道大学,うち22歳以上,受験者,29,男,30,30,
MedSchool.csv,1,国立,北海道大学,うち22歳以上,受験者,29,女,8,8,
MedSchool.csv,1,国立,北海道大学,うち22歳以上,受験者,29,合計,38,38,
MedSchool.csv,1,国立,北海道大学,うち22歳以上,合格者,29,男,4,4,
MedSchool.csv,1,国立,北海道大学,うち22歳以上,合格者,29,女,0,0,
MedSchool.csv,1,国立,北海道大学,うち22歳以上,合格者,29,合計,4,4,
MedSchool.csv,1,国立,北海道大学,うち22歳以上,合格率,29,男,13%,,0.13
MedSchool.csv,1,国立,北海道大学,うち22歳以上,合格率,29,女,0%,,0
MedSchool.csv,1,国立,北海道大学,うち22歳以上,受験者,28,男,42,42,
MedSchool.csv,1,国立,北海道大学,うち22歳以上,受験者,28,女,13,13,
MedSchool.csv,1,国立,北海道大学,うち22歳以上,受験者,28,合計,55,55,
MedSchool.csv,1,国立,北海道大学,うち22歳以上,合格者,28,男,2,2,
MedSchool.csv,1,国立,北海道大学,うち22歳以上,合格者,28,女,1,1,
MedSchool.csv,1,国立,北海道大学,うち22歳以上,合格者,28,合計,3,3,
MedSchool.csv,1,国立,北海道大学,うち22歳以上,合格率,28,男,5%,,0.05
MedSchool.csv,1,国立,北海道大学,うち22歳以上,合格率,28,女,8%,,0.08
MedSchool.csv,1,国立,北海道大学,うち22歳以上,受験者,27,男,39,39,
MedSchool.csv,1,国立,北海道大学,うち22歳以上,受験者,27,女,9,9,
MedSchool.csv,1,国立,北海道大学,うち22歳以上,受験者,27,合計,48,48,
MedSchool.csv,1,国立,北海道大学,うち22歳以上,合格者,27,男,7,7,
MedSchool.csv,1,国立,北海道大学,うち22歳以上,合格者,27,女,0,0,
MedSchool.csv,1,国立,北海道大学,うち22歳以上,合格者,27,合計,7,7,
MedSchool.csv,1,国立,北海道大学,うち22歳以上,合格率,27,男,18%,,0.18
MedSchool.csv,1,国立,北海道大学,うち22歳以上,合格率,27,女,0%,,0
